mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,contrast_0,contrast_1,contrast_2,contrast_3,contrast_4,contrast_5,contrast_6,zcr,label
-435.8064880371094,100.2136459350586,-19.618366241455078,36.52091598510742,-7.553804397583008,22.405487060546875,-8.34846019744873,12.438695907592773,-3.4654340744018555,1.5015695095062256,-0.8034916520118713,-2.155806541442871,1.2218947410583496,0.16063794493675232,0.14609715342521667,0.17253461480140686,0.21761763095855713,0.21714332699775696,0.21778815984725952,0.27748599648475647,0.5171347856521606,0.35703200101852417,0.2380462884902954,0.2455262541770935,0.19936494529247284,19.333308583417082,16.94071102611281,17.07783652154921,14.991004628505534,16.547633678318597,15.912052999150232,47.50829590354986,0.06589918870192307,1
-412.907958984375,80.94020080566406,-14.530182838439941,31.90838050842285,-14.702774047851562,18.749826431274414,-9.85326099395752,9.408289909362793,-13.252960205078125,-2.386655807495117,-3.5580508708953857,-3.7983474731445312,0.023233501240611076,0.3343196213245392,0.2880735397338867,0.2399044781923294,0.23536008596420288,0.24785998463630676,0.24455198645591736,0.3235258460044861,0.3098914921283722,0.33389046788215637,0.36341968178749084,0.4269660413265228,0.3850151598453522,19.625972111859596,13.464405671150818,14.663626297157238,14.053123381008911,14.999352445054702,15.179762628589332,49.20311662174845,0.09405423677884615,1
-448.9043884277344,90.36538696289062,-22.37215232849121,34.165653228759766,-10.381683349609375,19.207155227661133,-11.50599193572998,1.5757546424865723,-6.980103492736816,-1.6845111846923828,-1.2011359930038452,-4.277547359466553,-0.8038327097892761,0.3002510666847229,0.2889532744884491,0.3431505262851715,0.34494102001190186,0.32377615571022034,0.3597710430622101,0.3524979054927826,0.3167250156402588,0.34831002354621887,0.3793606758117676,0.4042245149612427,0.3450494706630707,17.70373311330846,11.631009859359326,13.874253991224,13.515674869599728,14.56576365842744,14.962791464095233,46.00022623821217,0.07254356971153846,1
-482.0086669921875,77.65686798095703,-27.03166389465332,42.68640899658203,-23.25016975402832,22.403871536254883,-21.618818283081055,-1.8227291107177734,-17.301509857177734,-0.4161261022090912,-5.353373050689697,-8.877771377563477,-1.313550353050232,0.28898873925209045,0.267361581325531,0.29341405630111694,0.3451583683490753,0.372391015291214,0.345192015171051,0.30423811078071594,0.3815845847129822,0.32744646072387695,0.320619136095047,0.32605770230293274,0.30308181047439575,17.69945910174628,12.111682264540034,14.2743225258931,13.452556292864442,14.62802460775493,14.36617682049692,48.9662271427945,0.10120192307692308,1
-412.87738037109375,73.94651794433594,-27.003084182739258,33.35995101928711,-23.059343338012695,18.057037353515625,-17.850875854492188,0.3683567941188812,-11.721467971801758,-3.355936050415039,-4.814367771148682,-5.574740886688232,-1.663960576057434,0.3129845857620239,0.3262884318828583,0.3326312005519867,0.3180222511291504,0.28235626220703125,0.2542631924152374,0.2742207944393158,0.2934079170227051,0.27405107021331787,0.40894877910614014,0.3900495171546936,0.31460458040237427,20.25923982815816,14.220334173546497,15.844516942712339,14.308629905087793,15.421675000862864,16.012421269844527,50.45263987331957,0.10756460336538462,1
-406.1446533203125,93.43463897705078,-18.223228454589844,39.579105377197266,-14.511455535888672,18.40668296813965,-14.326254844665527,8.679129600524902,-8.014015197753906,0.36698490381240845,-0.7878032326698303,-2.9907066822052,0.7411853671073914,0.12095305323600769,0.16178855299949646,0.17997604608535767,0.20404958724975586,0.21429282426834106,0.2296649068593979,0.2876555621623993,0.27476319670677185,0.465474009513855,0.3903394341468811,0.2568496763706207,0.16824938356876373,19.15870721227747,14.80452184656936,18.01564733253174,15.751896514810474,16.28697389987198,16.143249503338982,50.71512153378649,0.06327373798076923,1
-516.7311401367188,62.19786071777344,-21.461111068725586,15.723546028137207,-12.12267017364502,8.324517250061035,-13.556319236755371,0.042546872049570084,-8.46696949005127,-1.5250623226165771,-1.569036602973938,-2.8670876026153564,1.1130470037460327,0.19405515491962433,0.126345694065094,0.12361221015453339,0.15680243074893951,0.18056879937648773,0.24042709171772003,0.23576417565345764,0.14615081250667572,0.11665192991495132,0.14924080669879913,0.24471093714237213,0.27319738268852234,16.647105459649442,14.724130741717758,14.918226744506018,14.512728483449507,15.517243909933276,14.842802142888857,37.39350431119028,0.046461838942307696,1
-416.47991943359375,96.03831481933594,-27.646665573120117,33.015647888183594,-14.446147918701172,17.334341049194336,-16.668781280517578,3.9316556453704834,-10.722771644592285,-3.745516777038574,-3.1167030334472656,-4.332114219665527,0.07905646413564682,0.33373379707336426,0.30881527066230774,0.3350469470024109,0.29187995195388794,0.2312062829732895,0.2647923231124878,0.34374555945396423,0.42156779766082764,0.4231310784816742,0.3821731209754944,0.32894864678382874,0.35657310485839844,19.55043770836166,12.483216809438664,14.671332414173282,14.622927841478479,15.422346889912562,15.336061715004059,48.54565461462473,0.07169846754807692,1
-430.1329345703125,106.62886047363281,-16.26972198486328,35.043212890625,-5.921082973480225,18.31841278076172,-11.271928787231445,9.420877456665039,-3.002610921859741,4.822999000549316,-1.7437427043914795,-1.909912347793579,2.504166841506958,0.27544400095939636,0.23961016535758972,0.20384252071380615,0.18232153356075287,0.2273632138967514,0.2819766700267792,0.34203439950942993,0.4974626898765564,0.33129915595054626,0.17686797678470612,0.2435016632080078,0.2814021110534668,19.68498781808873,16.699355884955605,15.806843190029552,15.286642335757222,16.548894848271804,16.689949771779126,47.40718026451099,0.04670222355769231,1
-434.4822692871094,84.40411376953125,-34.286434173583984,36.78211975097656,-18.19141387939453,14.793381690979004,-17.13421630859375,4.631371021270752,-13.79161262512207,-4.029369831085205,-2.33474063873291,-3.8617336750030518,1.3507484197616577,0.20353420078754425,0.21663324534893036,0.3129581809043884,0.34244194626808167,0.2611466348171234,0.22391046583652496,0.2902836501598358,0.37496069073677063,0.3265237808227539,0.3133850395679474,0.32780352234840393,0.28479158878326416,19.2707587933572,13.878301606243964,15.896208397439729,14.51495070587972,15.063352407496751,15.52191254488496,48.45940151938398,0.08402944711538461,1
-489.343505859375,121.38419342041016,-3.4085500240325928,28.957056045532227,-2.6030709743499756,17.868196487426758,-3.542308807373047,12.331467628479004,-0.7511011958122253,6.010411739349365,5.47346305847168,-1.9418933391571045,-0.43412840366363525,0.568175196647644,0.4308087229728699,0.31460484862327576,0.2166530340909958,0.1405448466539383,0.12138119339942932,0.21272119879722595,0.3908134996891022,0.29585906863212585,0.2438059002161026,0.3124697804450989,0.4498691260814667,19.046365077674974,14.905016773648656,15.70215365043632,15.189647715792677,15.140003827469403,15.06671205408615,43.23819771235612,0.02421875,1
-399.21826171875,84.37313079833984,-31.149988174438477,28.352338790893555,-19.328121185302734,15.439353942871094,-19.299663543701172,0.4318467676639557,-11.007574081420898,-4.191390514373779,-2.4527041912078857,-5.891324043273926,0.7973433136940002,0.33256790041923523,0.25712937116622925,0.2572772204875946,0.2638010084629059,0.2672419250011444,0.26207754015922546,0.2655506730079651,0.3222893476486206,0.317960649728775,0.30723851919174194,0.3530215620994568,0.33787986636161804,19.739247903466595,14.386401219311322,16.098261303701932,14.986129549108002,16.265416219670882,15.834695080651468,49.953411165417485,0.08944936899038461,1
-438.7255859375,100.43592071533203,-18.910694122314453,29.658899307250977,-6.787175178527832,13.852850914001465,-9.506299018859863,2.213287830352783,-10.901606559753418,-4.175905227661133,-4.565811634063721,-4.7900004386901855,0.8163920640945435,0.18507899343967438,0.17591112852096558,0.1693258434534073,0.18121162056922913,0.2543502748012543,0.24594688415527344,0.260172963142395,0.24985486268997192,0.31095340847969055,0.36113405227661133,0.2717123031616211,0.236189603805542,21.209727903691544,17.058044520813453,18.490215058123134,16.491296632342095,17.715324903402156,17.629482129870553,49.71972915121956,0.03791316105769231,1
-390.71661376953125,102.10823059082031,-25.27301025390625,25.637758255004883,-25.823223114013672,13.938758850097656,-11.199009895324707,5.155540943145752,-3.6063528060913086,0.9446935057640076,4.1062188148498535,-0.11910811066627502,1.0925116539001465,0.36258262395858765,0.3301059305667877,0.20560739934444427,0.18994350731372833,0.2986621558666229,0.30163154006004333,0.29012542963027954,0.27826759219169617,0.2791386842727661,0.30989933013916016,0.30988842248916626,0.3250328302383423,18.70410549864902,13.913032821020515,16.314472315221025,15.628433882465105,16.193371284836374,16.72065491102352,49.30221733055424,0.07265625,1
